STATISTIC,Statistic Label,TLIST(W1),Year,C03910V04662,Transport Traffic Site,C01198V01436,Weeks of the year,UNIT,VALUE
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,35,Week 35,Number,15445.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,36,Week 36,Number,15377.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,37,Week 37,Number,15996.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,38,Week 38,Number,15885.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,39,Week 39,Number,15779.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,40,Week 40,Number,15873.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,41,Week 41,Number,16039.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,42,Week 42,Number,16133.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,43,Week 43,Number,16066.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,44,Week 44,Number,13977.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,45,Week 45,Number,16082.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,46,Week 46,Number,16220.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,47,Week 47,Number,16285.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,48,Week 48,Number,15903.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,49,Week 49,Number,16974.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,50,Week 50,Number,17389.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,51,Week 51,Number,17515.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,52,Week 52,Number,9307.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,53,Week 53,Number,5759.0
THA22C01,Average weekly volume of heavy goods vehicles,2021,2021,10,Selected traffic sites - Dublin,1,Week 01,Number,37827.0
THA22C01,Average weekly volume of heavy goods vehicles,2021,2021,10,Selected traffic sites - Dublin,2,Week 02,Number,35905.0
THA22C01,Average weekly volume of heavy goods vehicles,2021,2021,10,Selected traffic sites - Dublin,3,Week 03,Number,36698.0
THA22C01,Average weekly volume of heavy goods vehicles,2021,2021,10,Selected traffic sites - Dublin,4,Week 04,Number,37463.0
THA22C01,Average weekly volume of heavy goods vehicles,2021,2021,10,Selected traffic sites - Dublin,5,Week 05,Number,38621.0
THA22C01,Average weekly volume of heavy goods vehicles,2021,2021,10,Selected traffic sites - Dublin,6,Week 06,Number,38444.0
THA22C01,Average weekly volume of heavy goods vehicles,2021,2021,10,Selected traffic sites - Dublin,7,Week 07,Number,39031.0
THA22C01,Average weekly volume of heavy goods vehicles,2021,2021,10,Selected traffic sites - Dublin,8,Week 08,Number,39375.0
THA22C01,Average weekly volume of heavy goods vehicles,2021,2021,10,Selected traffic sites - Dublin,9,Week 09,Number,41836.0
THA22C01,Average weekly volume of heavy goods vehicles,2021,2021,10,Selected traffic sites - Dublin,10,Week 10,Number,41981.0
THA22C01,Average weekly volume of heavy goods vehicles,2021,2021,10,Selected traffic sites - Dublin,11,Week 11,Number,37885.0
THA22C01,Average weekly volume of heavy goods vehicles,2021,2021,10,Selected traffic sites - Dublin,12,Week 12,Number,43558.0
THA22C01,Average weekly volume of heavy goods vehicles,2021,2021,10,Selected traffic sites - Dublin,13,Week 13,Number,41840.0
THA22C01,Average weekly volume of heavy goods vehicles,2021,2021,10,Selected traffic sites - Dublin,14,Week 14,Number,37786.0
